Mes-Año;Categoria;Nivel Voltaje;Grupo de consumo;Tipo Consumo;Tipo Tarifa;Tarifa SISDAT;Clientes_BOL;MWh_BOL;FACT_BOL;Clientes_EOR;MWh_EOR;FACT_EOR;Clientes_ESM;MWh_ESM;FACT_ESM;Clientes_GYE;MWh_GYE;FACT_GYE;Clientes_GLR;MWh_GLR;FACT_GLR;Clientes_LRS;MWh_LRS;FACT_LRS;Clientes_MAN;MWh_MAN;FACT_MAN;Clientes_MLG;MWh_MLG;FACT_MLG;Clientes_STE;MWh_STE;FACT_STE;Clientes_STD;MWh_STD;FACT_STD;Clientes_SUC;MWh_SUC;FACT_SUC
2025-06;General;Alta;5 - Otros;No Público;Autoconsumo con Demanda Horaria - AV1;ATCGCD12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;No Público;Bombeo de Agua con Demanda Horaria - AV1;ATCGCD04;0;0;0;0;0;0;0;0;0;3;7957,38188;427758,47;3;13031,25025;788148,66;0;0;0;0;0;0;6;19434,923;1228096,11;1;4750,2;319170,48;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;No Público;Escenarios Deportivos con Demanda Horaria - AV1;ATCGCD11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;No Público;Estación de Carga Rápida con Demanda Horaria Diferenciada - AV1;ATCGCD16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;No Público;Otros con Demanda Horaria - AV1;ATCGCD05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;No Público;Servicio Comunitario con Demanda Horaria - AV1;ATCGCD08;0;0;0;0;0;0;0;0;0;2;1210,52;76696,59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Abonados Especiales con Demanda Horaria - AV1;ATCGCD03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Asistencia Social con Demanda Horaria - AV1;ATCGCD14;0;0;0;0;0;0;0;0;0;0;0;0;1;465,914;30719,85;0;0;0;1;955,0196;61982,83;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Autoconsumo con Demanda Horaria - AV1;ATCGCD12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Beneficio Público con Demanda Horaria - AV1;ATCGCD15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;433,416;30604,16;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Bombeo de Agua con Demanda Horaria - AV1;ATCGCD04;0;0;0;0;0;0;0;0;0;2;1242,10372;76618,13;1;14,034;16654,27;0;0;0;2;3711,54288;226563,91;0;0;0;1;0;5284,05;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Bombeo de Agua para Servicio Público de Agua con Demanda Horaria - AV1;ATCGCD13;0;0;0;0;0;0;1;2761,60085;126606,84;1;662,4;28371,76;1;12574,33;517106,21;0;0;0;4;3026,0291;126031,75;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Entidades Oficiales con Demanda Horaria - AV1;ATCGCD10;0;0;0;2;1032,463;78243,27;1;497,96567;37114,79;6;2590,9758;162231,81;2;308,91006;21949,81;0;0;0;0;0;0;0;0;0;1;393,6;28714,99;2;958,46;74127,4;0;0;0
2025-06;General;Alta;5 - Otros;Público;Escenarios Deportivos con Demanda Horaria - AV1;ATCGCD11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Estación de Carga Rápida con Demanda Horaria Diferenciada - AV1;ATCGCD16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Otros con Demanda Horaria - AV1;ATCGCD05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Alta;5 - Otros;Público;Servicio Comunitario con Demanda Horaria - AV1;ATCGCD08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;2 -  Comercial;No Público;Comercial;BTCGSD01;3530;953,67966;97249,76;17071;8626,5527;878822,4;6603;2967,25725;301471,29;65419;31732,10197;3222659,05;17844;10191,34867;1034857,27;6971;3260,17814;332223,63;16187;8997,19323;911282,17;10588;4455,12964;452927,72;5949;2657,7443;270055,39;25978;9367,07494;951703,75;11798;4440,39404;450913,93
2025-06;General;Baja;2 -  Comercial;No Público;Comercial con Demanda;BTCGCD01;14;34,37;3611;1;0,42636;66,17;69;177,95452;20463,23;4605;16721,46715;1848287,67;1124;5051,4376;562563,93;65;208,56532;23460,18;113;257,82442;29680,33;312;1028,3306;116947,43;38;110,36834;12113,28;27;62,22902;7146,84;95;97,60375;12128,63
2025-06;General;Baja;2 -  Comercial;No Público;Comercial con Demanda Horaria;BTCGCD31;0;0;0;1;5,88744;620,86;0;0;0;42;380,8938;38112,9;0;0;0;0;0;0;22;211,46386;21942,69;2;7,181;676,73;0;0;0;0;0;0;644;2735,54513;286792,81
2025-06;General;Baja;2 -  Comercial;Público;Comercial;BTCGSD01;1;0,032;4,35;16;6,95452;712,4;198;118,13557;12028,05;51;45,81534;4784,89;17;7,7637;799,68;20;9,341;945,77;72;65,495;6677,87;305;71,423;7438,67;1;0;1,41;54;20,22486;2067,55;16;5,51;556,8
2025-06;General;Baja;2 -  Comercial;Público;Comercial con Demanda;BTCGCD01;0;0;0;0;0;0;0;0;0;5;24,831;2946,62;5;49,463;5439,37;3;15,58166;1770,33;0;0;0;2;16,167;1676;0;0;0;0;0;0;3;7,193;781,41
2025-06;General;Baja;2 -  Comercial;Público;Comercial con Demanda Horaria;BTCGCD31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4,8042;453,22
2025-06;General;Baja;3 - Industrial;No Público;Industrial Artesanal;BTCGSD02;86;14,01082;1163,83;783;309,55948;26266,16;212;52,57866;4400,06;760;406,08449;36118,87;161;85,18599;7246,57;183;53,38972;4510,27;264;151,08788;12967,09;23;9,35872;787,3;79;38,00792;3224,41;84;34,44788;2915,81;206;66,01982;5498,82
2025-06;General;Baja;3 - Industrial;No Público;Industrial con Demanda;BTCGCD02;4;2,432;436,34;0;0;0;5;5,32013;650,27;479;1351,31606;145845,5;13;17,603;2212,41;4;1,12684;315,83;45;81,3982;9425,84;44;30,70838;3670,74;0;0;0;0;0;0;10;6,48082;759,74
2025-06;General;Baja;3 - Industrial;No Público;Industrial con Demanda Horaria;BTCGCD30;0;0;0;0;0;0;0;0;0;1;4,785;401;1;13,3416;1203,9;6;53,77302;5108,19;24;363,79184;31365,83;1;8,364;781,98;0;0;0;0;0;0;167;871,03221;72402,16
2025-06;General;Baja;3 - Industrial;Público;Industrial Artesanal;BTCGSD02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,3672;29,29;0;0;0;0;0;0
2025-06;General;Baja;3 - Industrial;Público;Industrial con Demanda;BTCGCD02;0;0;0;0;0;0;0;0;0;0;0;0;1;13,56;1275,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;3 - Industrial;Público;Industrial con Demanda Horaria;BTCGCD30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8,04372;1011,61
2025-06;General;Baja;5 - Otros;No Público;Abonados Especiales con Demanda;BTCGSD06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Abonados Especiales con Demanda Horaria;BTCGSD10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Asistencia Social;BTCGSD03;0;0;0;22;8,65674;475,22;39;14,20869;798,8;346;227,52738;21237,42;42;14,632;778,21;24;8,51996;459,52;186;67,54638;3686,69;1;0,546;27,71;12;2,169;111,54;5;2,603;145,81;54;14,371;809,43
2025-06;General;Baja;5 - Otros;No Público;Asistencia Social con Demanda;BTCGCD03;0;0;0;0;0;0;0;0;0;68;183,96128;14423,3;3;10,411;914,35;1;23,25702;1691,2;2;1,84266;158,96;1;0,595;57,88;0;0;0;0;0;0;3;1,681;162,65
2025-06;General;Baja;5 - Otros;No Público;Asistencia Social con Demanda Horaria;NDCGCD01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9,3636;740,55
2025-06;General;Baja;5 - Otros;No Público;Autoconsumo con Demana Horaria;BTCGCD37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Autoconsumo con Demanda;BTCGCD04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Beneficio Público;BTCGSD04;0;0;0;2;0,8262;46,77;52;11,05561;579,11;1;2,121;211,72;14;7,729;441,49;22;9,613;569,96;26;9,271;497,45;2;0;2,82;17;5,48758;292,19;57;12,91328;719,72;59;16,83796;925,67
2025-06;General;Baja;5 - Otros;No Público;Beneficio Público con Demanda;BTCGCD05;0;0;0;0;0;0;0;0;0;1;7,8489;536,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,22;51,11
2025-06;General;Baja;5 - Otros;No Público;Beneficio Público con Demanda Horaria;BTCGCD20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10,19592;931,25
2025-06;General;Baja;5 - Otros;No Público;Bombeo de Agua;BTCGSD13;13;4,316;366,33;57;29,70364;2435,04;69;26,07328;2130,48;22;8,33243;683,66;398;215,48194;17775,1;96;33,01382;2704,01;342;147,28084;12206,49;60;35,60812;2909,83;29;14,4899;1180,47;134;91,11876;5634,53;1;2,319;190,59
2025-06;General;Baja;5 - Otros;No Público;Bombeo de Agua Comunidades Campesinas;BTCGCD21;0;0;0;21;34,99008;1414,31;14;9,783;401,13;2;1,421;58,24;328;231,93255;9511,8;41;25,7184;1057,43;933;502,66182;20759,49;12;11,56022;471,51;10;6,248;256,92;39;42,65366;1733,44;111;71,58618;2941,15
2025-06;General;Baja;5 - Otros;No Público;Bombeo de Agua con Demanda;BTCGCD06;0;0;0;0;0;0;1;0,993;106,53;37;107,60468;10236,6;89;138,551;15107,21;3;2,1305;332,7;27;179,80874;15445,85;11;47,38928;4221,78;1;5,753;444,16;1;6,86256;550,19;19;11,73128;1328,44
2025-06;General;Baja;5 - Otros;No Público;Bombeo de Agua con Demanda Horaria;BTCGCD34;0;0;0;1;47,57304;2714,04;0;0;0;5;16,999;1500,69;0;0;0;9;5,04592;1994,98;2;36,02538;2822,18;0;0;0;0;0;0;0;0;0;6;6,51168;618,98
2025-06;General;Baja;5 - Otros;No Público;Culto Religioso;BTCGSD09;314;24,94172;1456,83;545;116,77533;6404,29;458;104,05039;5568,38;466;229,01666;20533,61;928;265,30939;14245,09;443;104,27174;5559,13;379;131,71136;7058,16;439;105,797;5561,52;192;49,10927;2535,79;738;155,25394;8429,51;407;53,9288;2849,97
2025-06;General;Baja;5 - Otros;No Público;Culto Religioso con Demanda;BTCGCD32;1;1,064;96,16;0;0;0;0;0;0;63;84,34528;8430,54;3;5,096;580,75;3;4,24678;401,96;0;0;0;15;21,70306;2506,8;1;0,13;26,51;1;0,813;102,26;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Escenarios Deportivos;BTCGSD12;10;0,797;79,44;32;8,06318;738,61;0;0;0;4;4,769;459,1;4;2,082;192,87;12;4,222;387,55;12;2,02334;191,87;4;3,239;295,89;7;1,1731;109,94;18;7,75768;714,93;9;3,061;282,13
2025-06;General;Baja;5 - Otros;No Público;Escenarios Deportivos con Demanda;BTCGCD08;1;2,073;226,65;0;0;0;0;0;0;9;31,372;3230,3;0;0;0;3;0,8466;171,5;2;4,27292;473,07;1;0,06936;38,19;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Escenarios Deportivos con Demanda Horaria;BTCGCD36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Ocasional;BTCGCD12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Otros;BTCGSD08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Otros con Demanda;BTCGCD09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Otros con Demanda Horaria;BTCGCD38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Servicio Comunitario;BTCGSD11;0;0;0;53;29,7891;2740,96;49;30,84866;2804,26;738;230,73351;20704,08;933;568,91333;52541,52;1;0,014;2,56;65;40,83168;3727,66;3;1,702;157,08;291;692,94363;62967,42;136;34,38852;3202,27;43;5,302;515,56
2025-06;General;Baja;5 - Otros;No Público;Servicio Comunitario con Demanda;BTCGCD11;0;0;0;0;0;0;2;2,224;239,82;295;634,95534;64399,03;171;702,582;72516,67;1;6,473;610,83;22;54,2178;5469,4;0;0;0;5;16,59336;1970,15;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;No Público;Servicio Comunitario con Demanda Horaria;BTCGCD39;0;0;0;0;0;0;0;0;0;4;170,426;14202,61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;43,1256;3811,34
2025-06;General;Baja;5 - Otros;No Público;Vehículos Eléctricos con Demanda Horaria;BTCGCD41;1;1,359;90,52;1;0,41;56,75;0;0;0;87;43,963;4145,38;75;18,828;2687,32;1;0,416;40,89;16;3,955;602,4;1;0,997;73,99;0;0;0;2;0,272;52,43;0;0;0
2025-06;General;Baja;5 - Otros;Público;Abonados Especiales con Demanda;BTCGSD06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,01;2,21;0;0;0;0;0;0;;;;0;0;0
2025-06;General;Baja;5 - Otros;Público;Abonados Especiales con Demanda Horaria;BTCGSD10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0
2025-06;General;Baja;5 - Otros;Público;Asistencia Social;BTCGSD03;77;30,608;1544,25;162;124,66466;7150,23;115;71,387;3991,56;71;81,799;7935,98;116;122,54237;7103,91;71;53,3545;3007,65;323;252,30902;14530,55;59;39,66162;2247;41;39,81282;2285,89;127;121,35928;6951,94;127;51,128;2925,22
2025-06;General;Baja;5 - Otros;Público;Asistencia Social con Demanda;BTCGCD03;2;2,686;248,21;0;0;0;2;3,13258;271,48;44;148,714;11303,08;4;9,804;813,3;5;5,18192;480,31;4;19,254;1497,94;10;30,96482;2525,13;0;0;0;0;0;0;3;2,005;166,97
2025-06;General;Baja;5 - Otros;Público;Asistencia Social con Demanda Horaria;NDCGCD01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;171,17945;13039,2
2025-06;General;Baja;5 - Otros;Público;Autoconsumo con Demana Horaria;BTCGCD37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;Público;Autoconsumo con Demanda;BTCGCD04;0;0;0;0;0;0;0;0;0;0;0;0;1;2,24;238,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;Público;Beneficio Público;BTCGSD04;519;57,67168;3357,88;860;316,76691;17609,52;832;153,18802;8542,62;434;477,66905;46210,66;850;273,45183;15375,43;347;101,86616;5789,44;782;326,8706;18741,83;313;128,8856;7304,64;183;108,43392;6107,98;981;254,08614;14016,77;760;119,95974;6397,65
2025-06;General;Baja;5 - Otros;Público;Beneficio Público con Demanda;BTCGCD05;2;5,948;442,96;1;0,1632;22,21;5;5,97006;641,41;57;164,657;12344,72;2;4,694;363,59;9;15,86904;1370,05;10;22,39428;1886,58;18;63,022;5242,02;1;1,579;120,28;0;0;0;8;3,68186;527,56
2025-06;General;Baja;5 - Otros;Público;Beneficio Público con Demanda Horaria;BTCGCD20;0;0;0;1;2,25828;197,23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;92,82924;7193,11
2025-06;General;Baja;5 - Otros;Público;Bombeo de Agua;BTCGSD13;3;1,768;141,07;0;0;0;15;12,148;992,61;1;1,38;117,21;53;53,39189;4381,37;19;8,51;690,44;23;12,9872;1084,61;74;82,72928;6798,61;0;0;0;24;19,8997;1637,8;0;0;0
2025-06;General;Baja;5 - Otros;Público;Bombeo de Agua Comunidades Campesinas;BTCGCD21;0;0;0;5;7,6704;310,31;2;4,247;171,28;0;0;0;30;28,38112;1156,24;15;14,23358;579,84;21;27,62674;1119,77;9;19,11632;770,95;0;0;0;9;12,5744;509,27;66;39,411;1622,64
2025-06;General;Baja;5 - Otros;Público;Bombeo de Agua con Demanda;BTCGCD06;6;4,74198;461,16;0;0;0;2;8,65;786,85;5;43,298;3862,99;8;11,403;1047,49;8;25,70426;2629,06;1;1,07508;87,59;17;116,94928;12896,95;0;0;0;1;0,327;37,76;9;6,107;610,05
2025-06;General;Baja;5 - Otros;Público;Bombeo de Agua con Demanda Horaria;BTCGCD34;0;0;0;0;0;0;0;0;0;4;0,955;110,54;0;0;0;1;0;1,41;0;0;0;0;0;0;0;0;0;0;0;0;17;23,45626;2971,58
2025-06;General;Baja;5 - Otros;Público;Bombeo de Agua para Servicio Público de Agua;BTCGSD14;0;0;0;15;14,37486;947,37;3;1,732;113,74;42;33,14434;2186,99;5;2,268;148,94;10;59,99832;3924,17;1;0,223;14,34;0;0;0;15;15,0883;988,97;18;16,5938;1097,31;0;0;0
2025-06;General;Baja;5 - Otros;Público;Bombeo de Agua para Servicio Público de Agua con Demanda Horaria;BTCGCD40;0;0;0;5;5,85;360,09;0;0;0;16;69,9574;4775,94;0;0;0;0;0;0;1;4,777;392,74;0;0;0;0;0;0;0;0;0;80;614,759;39998,59
2025-06;General;Baja;5 - Otros;Público;Culto Religioso;BTCGSD09;2;0,061;4,89;6;2,15016;125,23;4;0,072;8,08;0;0;0;3;0,031;5,28;2;0,013;3,26;2;1,313;69,34;3;0,451;19,94;1;0,3672;16,44;1;0,143;6,36;8;0,268;20,54
2025-06;General;Baja;5 - Otros;Público;Culto Religioso con Demanda;BTCGCD32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;Público;Entidades Oficiales;BTCGSD05;355;101,87828;9444,36;999;498,25018;45867,45;372;212,05833;19575,7;1257;970,00414;91355,8;705;572,26003;52540,89;298;213,74126;19643,12;560;415,86956;38222,93;343;223,8079;20620,17;448;-336,06197;-31604,97;679;471,41058;43308,22;301;139,73062;12871,92
2025-06;General;Baja;5 - Otros;Público;Entidades Oficiales con Demanda;BTCGCD07;12;36,682;4003,29;1;6,9615;660,93;11;36,48855;3599,06;315;744,50864;74742,11;31;144,455;14917,8;26;74,91424;7861,82;60;158,53918;16728,66;68;294,69024;29887,5;6;18,85;1878,09;3;7,3722;727,4;28;-4,7303;632,08
2025-06;General;Baja;5 - Otros;Público;Entidades Oficiales con Demanda Horaria;BTCGCD35;0;0;0;0;0;0;0;0;0;2;3,106;336,39;0;0;0;0;0;0;7;80,5951;7441,79;0;0;0;0;0;0;0;0;0;219;724,42826;75529,28
2025-06;General;Baja;5 - Otros;Público;Escenarios Deportivos;BTCGSD12;0;0;0;19;2,39496;227;0;0;0;1;0,67014;60,02;1;1,084;98,92;11;7,319;635,87;10;4,16514;378,3;2;1,442;130,33;7;1,40998;133,05;11;1,462;138,35;6;1,129;107,51
2025-06;General;Baja;5 - Otros;Público;Escenarios Deportivos con Demanda;BTCGCD08;0;0;0;0;0;0;4;0,02;71,9;0;0;0;0;0;0;1;0,94044;103,04;0;0;0;0;0;0;0;0;0;0;0;0;13;5,924;705,2
2025-06;General;Baja;5 - Otros;Público;Escenarios Deportivos con Demanda Horaria;BTCGCD36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;10,11126;1212,04
2025-06;General;Baja;5 - Otros;Público;Ocasional;BTCGCD12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;Público;Otros;BTCGSD08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;Público;Otros con Demanda;BTCGCD09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;Público;Otros con Demanda Horaria;BTCGCD38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;Público;Servicio Comunitario;BTCGSD11;0;0;0;3;2,0043;182,92;3;0,261;25,63;19;7,43442;690,48;8;1,193;113,87;0;0;0;6;1,865;172,78;0;0;0;0;0;0;1;0;1,41;0;0;0
2025-06;General;Baja;5 - Otros;Público;Servicio Comunitario con Demanda;BTCGCD11;0;0;0;0;0;0;0;0;0;8;10,406;1241,17;2;0,387;162,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;Público;Servicio Comunitario con Demanda Horaria;BTCGCD39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Baja;5 - Otros;Público;Vehículos Eléctricos con Demanda Horaria;BTCGCD41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-06;General;Media;2 -  Comercial;No Público;Comercial con Demanda;MTCGCD01;187;372,99386;45481,25;675;749,00804;87058,59;457;1568,26705;190923,74;1757;28618,26964;3002709,03;1579;13504,37412;1555542,63;661;2846,2744;340681,58;1977;8138,20827;950769,05;478;3805,43428;433777,02;465;4228,73766;485167,86;836;3335,3788;400022,08;0;0;0
